# /motor_sim/joint_states/header/stamp,pos from gazebo, /debug/motorPositionIn0P/header/stamp,pos measured by eeros,,dt,dpos,dt,dpos
0.067,0.0587834838,0.067,0.0571758885,,0.001,0.0016075953,0.001,0.0018225189
0.068,0.06045751,0.068,0.0571758885,,0.001,0.0016740262,0.001,0
0.069,0.0627333412,0.069,0.06045751,,0.001,0.0022758312,0.001,0.0032816215
0.07,0.0646179349,0.07,0.0627333412,,0.001,0.0018845936,0.001,0.0022758312
0.071,0.0657134021,0.071,0.0646179349,,0.001,0.0010954672,0.001,0.0018845936
0.072,0.0662653892,0.072,0.0657134021,,0.001,0.0005519871,0.001,0.0010954672
0.073,0.0667688501,0.073,0.0662653892,,0.001,0.0005034609,0.001,0.0005519871
0.074,0.067564505,0.074,0.0667688501,,0.001,0.000795655,0.001,0.0005034609
0.075,0.0686826305,0.075,0.067564505,,0.001,0.0011181254,0.001,0.000795655
0.076,0.0699398975,0.076,0.0686826305,,0.001,0.0012572671,0.001,0.0011181254
0.077,0.0711340878,0.077,0.0699398975,,0.001,0.0011941903,0.001,0.0012572671
0.078,0.0721780075,0.078,0.0711340878,,0.001,0.0010439196,0.001,0.0011941903
0.079,0.0731112717,0.079,0.0721780075,,0.001,0.0009332643,0.001,0.0010439196
0.08,0.0740281366,0.08,0.0731112717,,0.001,0.0009168649,0.001,0.0009332643
0.081,0.0749979776,0.081,0.0740281366,,0.001,0.000969841,0.001,0.0009168649
0.082,0.0760310493,0.082,0.0749979776,,0.001,0.0010330716,0.001,0.000969841
0.083,0.0770941108,0.083,0.0760310493,,0.001,0.0010630615,0.001,0.0010330716
0.084,0.0781475095,0.084,0.0770941108,,0.001,0.0010533987,0.001,0.0010630615
0.085,0.0791724501,0.085,0.0781475095,,0.001,0.0010249406,0.001,0.0010533987
0.086,0.080175004,0.086,0.0791724501,,0.001,0.001002554,0.001,0.0010249406
0.087,0.0811730221,0.087,0.080175004,,0.001,0.0009980181,0.001,0.001002554
0.088,0.0821805402,0.088,0.0811730221,,0.001,0.0010075181,0.001,0.0009980181
0.089,0.0832003973,0.089,0.0821805402,,0.001,0.001019857,0.001,0.0010075181
0.09,0.0842266317,0.09,0.0821805402,,0.001,0.0010262344,0.001,0
0.091,0.0858393151,0.091,0.0842266317,,0.001,0.0016126834,0.001,0.0020460914
0.092,0.0874483506,0.092,0.0842266317,,0.001,0.0016090355,0.001,0
0.093,0.0896422657,0.093,0.0874483506,,0.001,0.0021939151,0.001,0.0032217189
